epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,9742.84,1.27977,4.23927,1.49107,1.56425,0.79407,0.63085,0.71812,0.47496,0.01059,0.01595,0.00179,0.00055,1.26168,3.93277,1.30021,1.75915,0.00108938,0.00108938,0.00108938
30,10080.4,1.27,4.20365,1.46735,1.56565,0.91871,0.53837,0.69094,0.4417,0.00911,0.04056,0.00155,0.00051,1.29463,3.94967,1.35432,1.86949,0.00106876,0.00106876,0.00106876
31,10418.9,1.24275,4.20303,1.43636,1.54938,0.85775,0.58332,0.70368,0.45853,0.0073,0.01399,0.00145,0.0005,1.27482,3.93252,1.28352,1.75274,0.00104813,0.00104813,0.00104813
32,10755.4,1.23726,4.1991,1.44846,1.53098,0.87408,0.59214,0.69594,0.45221,0.01272,0.01754,0.00179,0.00052,1.30193,3.96454,1.37111,1.82795,0.0010275,0.0010275,0.0010275
33,11082,1.24648,4.2075,1.4588,1.54646,0.83559,0.59373,0.70272,0.44065,0.00879,0.01332,0.00146,0.00046,1.30231,3.9602,1.31677,1.85077,0.00100687,0.00100687,0.00100687
34,11408.2,1.25691,4.19698,1.45172,1.57105,0.84647,0.61736,0.72054,0.47354,0.02125,0.02621,0.00302,0.00094,1.31568,3.88453,1.31797,1.767,0.000986239,0.000986239,0.000986239
35,11736,1.26541,4.20164,1.43604,1.5636,0.80626,0.64725,0.73766,0.48458,0.02094,0.03455,0.00257,0.00076,1.22188,3.90191,1.21036,1.70948,0.00096561,0.00096561,0.00096561
36,12053.3,1.21431,4.21519,1.42061,1.52128,0.76055,0.64214,0.72134,0.4702,0.01218,0.02233,0.00188,0.00057,1.22866,3.9135,1.27104,1.72079,0.000944981,0.000944981,0.000944981
37,12381.1,1.2297,4.19565,1.44156,1.54131,0.81102,0.61753,0.72411,0.47645,0.01082,0.01724,0.00161,0.00052,1.20696,3.87658,1.22609,1.72318,0.000924352,0.000924352,0.000924352
38,12710,1.21961,4.1897,1.45089,1.54055,0.79402,0.65644,0.72662,0.48469,0.01899,0.03099,0.00193,0.00061,1.20167,3.86576,1.34912,1.70336,0.000903722,0.000903722,0.000903722
39,13040.4,1.19573,4.16489,1.41134,1.51557,0.83753,0.64585,0.73632,0.48987,0.01551,0.03093,0.00168,0.00052,1.17975,3.84654,1.25483,1.68961,0.000883093,0.000883093,0.000883093
40,13370.1,1.22848,4.1613,1.43292,1.54631,0.85734,0.60222,0.731,0.48542,0.0156,0.03448,0.00203,0.00062,1.21725,3.8521,1.27742,1.71024,0.000862464,0.000862464,0.000862464
41,13697.8,1.21842,4.19062,1.41453,1.53226,0.83333,0.598,0.71844,0.46555,0.01937,0.04222,0.00232,0.00067,1.31269,3.85525,1.26988,1.76813,0.000841835,0.000841835,0.000841835
42,14027,1.18481,4.14149,1.38978,1.50645,0.85882,0.61273,0.7398,0.49269,0.03932,0.03811,0.0061,0.00129,1.20619,3.84176,1.2657,1.65631,0.000821206,0.000821206,0.000821206
43,14357.4,1.20063,4.14456,1.39406,1.51085,0.7907,0.63018,0.73987,0.48981,0.02,0.03229,0.00275,0.00077,1.22639,3.84965,1.22082,1.68214,0.000800577,0.000800577,0.000800577
